timestamp,title,price,original_price,shipping,url,discount_percentage
3/10/2026 17:27,"2021 Apple M1 Pro MacBook Pro 16"" 32GB/512GB SSD - (Space Gray) A2485 w/Warranty",795.15,2699.0,Shipping info unavailable,https://www.ebay.com/itm/146647402645?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006407,70.54
3/10/2026 17:27,2026 Thinkscan Plus S7 Car OBD2 Scanner Auto Diagnostic Tool ABS SRS BCM IC AC,125.99,189.99,Shipping info unavailable,https://www.ebay.com/itm/394131576153?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006432,33.69
3/10/2026 17:27,"2-Bay/4-Bay Hard Drive Enclosure for 3.5""/2.5'' SATA HDD/SSD 10Gbps USB-C 3.2",75.99,151.98,Shipping info unavailable,https://www.ebay.com/itm/236532412408?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421,50.0
3/10/2026 17:27,Acer PM161Q 15.6in Portable Monitor FHD 1920x1080 250nit 60Hz 20ms Refurbished,41.84,99.99,Shipping info unavailable,https://www.ebay.com/itm/276789897235?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,58.16
3/10/2026 17:27,"Acer Swift Go 14"" Laptop Intel Core Ultra 7 155H 16GB RAM 1TB SSD Refurbished",371.99,799.99,Shipping info unavailable,https://www.ebay.com/itm/276709583737?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006407,53.5
3/10/2026 17:27,Anker 737 Power Bank 24000mAh 3-Port Portable Charger 140W for iPhone 14/MacBook,74.99,159.99,Shipping info unavailable,https://www.ebay.com/itm/385840234596?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419,53.13
3/10/2026 17:27,Apple - HomePod mini,94.95,118.99,Shipping info unavailable,https://www.ebay.com/itm/326656443193?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,20.2
3/10/2026 17:27,"Apple 2022 iPad Pro, 12.9-inch, Wi-Fi + Cellular, 256GB, Silver - Excellent",592.99,1399.0,Shipping info unavailable,https://www.ebay.com/itm/406710862765?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,57.61
3/10/2026 17:27,Apple AirPods Pro 2nd Generation Gen 2 2023 A2968 with Magsafe USB-C Charging,139.95,250.0,Shipping info unavailable,https://www.ebay.com/itm/285636515887?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419,44.02
3/10/2026 17:27,Apple AirPods Pro 3 Wireless Active Noise Cancelling Earbuds Magsafe MFHP4LL/A,186.95,186.95,Shipping info unavailable,https://www.ebay.com/itm/277504800257?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419,0.0
3/10/2026 17:27,"Apple iPad Air 5 M1 (2022) 10.9"" 64GB 256GB - WiFi or Cellular - Good",289.99,289.99,Shipping info unavailable,https://www.ebay.com/itm/157484606510?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415,0.0
3/10/2026 17:27,Apple iPad Pro 11-inch M4 Chip 256GB Wi-Fi / Cellular Silver MVV93LL/A Good,697.0,965.0,Shipping info unavailable,https://www.ebay.com/itm/227037915412?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,27.77
3/10/2026 17:27,Apple iPad Pro 12.9″ (5th Gen 2021) Wi-Fi M1 Excellent Condition 1 Year Warranty,499.95,499.95,Shipping info unavailable,https://www.ebay.com/itm/227211848353?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415,0.0
3/10/2026 17:27,"Apple iPad Pro6 Tablet 12.9"" 6th Gen 2022 WiFi / 5G Models Pro 6 -M2 Very Good",599.95,599.95,Shipping info unavailable,https://www.ebay.com/itm/364759523674?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415,0.0
3/10/2026 17:27,Apple iPhone 12 128GB - Fully Unlocked - VERY GOOD Condition,216.99,499.99,Shipping info unavailable,https://www.ebay.com/itm/225936656368?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,56.6
3/10/2026 17:27,Apple iPhone 12 Pro Max 128GB Fully Unlocked - EXCELLENT Condition,326.99,499.99,Shipping info unavailable,https://www.ebay.com/itm/225966696293?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,34.6
